Region,RCM,Measured Recharge,RCM Recharge
Rainy River Basin,WRFG_cgcm3,11.8,18.4
Rainy River Basin,WRFG_cgcm3,12.9,18.4
Rainy River Basin,WRFG_cgcm3,14,18.4
Rainy River Basin,WRFG_cgcm3,15.1,18.4
Rainy River Basin,WRFG_cgcm3,16.2,18.4
Rainy River Basin,WRFG_cgcm3,17.3,18.4
Rainy River Basin,WRFG_cgcm3,18.4,18.4
Rainy River Basin,WRFG_cgcm3,19.5,18.4
Rainy River Basin,WRFG_cgcm3,20.6,18.5
Rainy River Basin,WRFG_cgcm3,21.7,18.4
Rainy River Basin,WRFG_cgcm3,22.8,18.4
Rainy River Basin,WRFG_cgcm3,23.9,18.4
Rainy River Basin,WRFG_cgcm3,25,18.4
Rainy River Basin,WRFG_cgcm3,26.1,18.4
Rainy River Basin,WRFG_cgcm3,27.2,18.7
Rainy River Basin,WRFG_cgcm3,28.3,18.4
Rainy River Basin,WRFG_cgcm3,29.4,18.4
Rainy River Basin,WRFG_cgcm3,30.5,18.4
Rainy River Basin,WRFG_cgcm3,31.6,18.4
Rainy River Basin,WRFG_cgcm3,32.7,18.8
Rainy River Basin,WRFG_cgcm3,33.8,18.4
Rainy River Basin,WRFG_cgcm3,35,18.9
Rainy River Basin,WRFG_cgcm3,36.5,18.9
Rainy River Basin,WRFG_cgcm3,38,19.2
Rainy River Basin,WRFG_cgcm3,42,19.3
Rainy River Basin,WRFG_cgcm3,43.2,19.2
Rainy River Basin,WRFG_cgcm3,47.2,19.2
Rainy River Basin,WRFG_cgcm3,48,19.4
Rainy River Basin,WRFG_cgcm3,50,19.4
Rainy River Basin,WRFG_cgcm3,53.3,19.5
Rainy River Basin,WRFG_cgcm3,56,19.6
Rainy River Basin,WRFG_cgcm3,59.5,19.7
Rainy River Basin,WRFG_cgcm3,60.5,22.2
Rainy River Basin,WRFG_cgcm3,65.4,23.8
Rainy River Basin,WRFG_cgcm3,72.2,31.2
Rainy River Basin,WRFG_cgcm3,77.8,35.7
Rainy River Basin,WRFG_cgcm3,80.5,46.2
Rainy River Basin,WRFG_cgcm3,87.7,59.3
